,Unnamed: 0,image,depth,dataset,normal,control_geo
10,10,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0007.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0007.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0007.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0007.tonemap.png
11,11,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0008.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0008.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0008.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0008.tonemap.png
12,12,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0010.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0010.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0010.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0010.tonemap.png
13,13,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0011.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0011.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0011.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0011.tonemap.png
14,14,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0012.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0012.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0012.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0012.tonemap.png
15,15,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0013.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0013.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0013.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0013.tonemap.png
16,16,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0015.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0015.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0015.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0015.tonemap.png
17,17,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0016.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0016.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0016.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0016.tonemap.png
18,18,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0017.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0017.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0017.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0017.tonemap.png
19,19,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0018.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0018.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0018.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0018.tonemap.png
20,20,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0020.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0020.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0020.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0020.tonemap.png
21,21,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0021.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0021.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0021.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0021.tonemap.png
22,22,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0022.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0022.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0022.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0022.tonemap.png
23,23,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0023.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0023.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0023.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0023.tonemap.png
24,24,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0025.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0025.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0025.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0025.tonemap.png
25,25,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0026.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0026.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0026.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0026.tonemap.png
26,26,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0027.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0027.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0027.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0027.tonemap.png
27,27,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0028.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0028.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0028.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0028.tonemap.png
28,28,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0030.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0030.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0030.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0030.tonemap.png
29,29,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0031.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0031.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0031.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0031.tonemap.png
30,30,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0033.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0033.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0033.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0033.tonemap.png
31,31,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0035.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0035.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0035.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0035.tonemap.png
32,32,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0036.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0036.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0036.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0036.tonemap.png
33,33,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0037.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0037.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0037.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0037.tonemap.png
34,34,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0038.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0038.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0038.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0038.tonemap.png
35,35,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0040.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0040.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0040.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0040.tonemap.png
36,36,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0043.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0043.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0043.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0043.tonemap.png
37,37,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0045.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0045.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0045.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0045.tonemap.png
38,38,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0046.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0046.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0046.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0046.tonemap.png
39,39,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0024.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0024.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0024.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0024.tonemap.png
40,40,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0029.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0029.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0029.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0029.tonemap.png
41,41,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0034.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0034.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0034.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0034.tonemap.png
42,42,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0039.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0039.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0039.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0039.tonemap.png
43,43,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0044.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0044.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0044.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0044.tonemap.png
44,44,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0048.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0048.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0048.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0048.tonemap.png
45,45,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0050.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0050.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0050.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0050.tonemap.png
46,46,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0051.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0051.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0051.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0051.tonemap.png
47,47,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0052.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0052.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0052.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0052.tonemap.png
48,48,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0053.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0053.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0053.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0053.tonemap.png
49,49,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0055.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0055.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0055.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0055.tonemap.png
50,50,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0056.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0056.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0056.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0056.tonemap.png
51,51,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0057.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0057.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0057.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0057.tonemap.png
52,52,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0058.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0058.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0058.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0058.tonemap.png
53,53,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0060.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0060.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0060.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0060.tonemap.png
54,54,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0061.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0061.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0061.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0061.tonemap.png
55,55,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0062.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0062.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0062.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0062.tonemap.png
56,56,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0065.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0065.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0065.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0065.tonemap.png
57,57,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0066.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0066.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0066.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0066.tonemap.png
58,58,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0068.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0068.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0068.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0068.tonemap.png
59,59,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0070.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0070.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0070.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0070.tonemap.png
60,60,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0049.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0049.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0049.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0049.tonemap.png
61,61,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0054.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0054.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0054.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0054.tonemap.png
62,62,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0059.tonemap.jpg,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_hdf5/frame.0059.depth_meters.hdf5,hy,../../data/hy/ai_002_007/ai_002_007/images/scene_cam_00_geometry_preview/frame.0059.normal_cam.png,../../data/depthanything/hy/ai_002_007/ai_002_007/images/scene_cam_00_final_preview/frame.0059.tonemap.png
